over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
654474,5,8.4,13.0,0.0,0.0,42.0,0.0,13.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:44:31Z,1,21,False,7797,George Scrimshaw,81,Dawid Malan,402,Alex Hales,158,187,Deep Backward Square Leg,6,0,6,6,LengthBall,DownLeg,NotOut,Middled,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,10,False,False,True,False,False,False,6,0,0,0,0,False,True,,,,
654474,5,8.4,13.0,0.0,0.0,42.0,0.0,13.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:45:15Z,2,22,False,7797,George Scrimshaw,81,Dawid Malan,402,Alex Hales,90,48,Wicketkeeper,0,0,0,0,LengthBall,LegStump,NotOut,Missed,FrontFoot,Slog,OffCutter,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
654474,5,8.4,13.0,0.0,0.0,42.0,0.0,13.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:45:54Z,3,23,False,7797,George Scrimshaw,81,Dawid Malan,402,Alex Hales,321,156,Deep Extra Cover,3,0,3,3,LengthBall,LegStump,NotOut,WellTimed,BackFoot,Drive,OffCutter,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,3,0,0,0,0,False,False,,,,
654474,5,8.4,13.0,0.0,0.0,42.0,0.0,13.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:46:46Z,4,24,False,7797,George Scrimshaw,402,Alex Hales,81,Dawid Malan,326,22,Short Leg,0,0,0,0,BackOfALength,OutsideOff,NotOut,HitBody,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
654474,5,8.4,13.0,0.0,0.0,42.0,0.0,13.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:48:46Z,5,25,False,7797,George Scrimshaw,402,Alex Hales,81,Dawid Malan,327,199,Deep Mid Wicket,4,0,4,4,LengthBall,DownLeg,NotOut,WellTimed,BacksAway,Flick,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
654475,6,8.0,6.0,0.0,0.0,48.0,0.0,6.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:50:03Z,1,26,False,361,David Payne,402,Alex Hales,81,Dawid Malan,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Drive,OffCutter,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,
654475,6,8.0,6.0,0.0,0.0,48.0,0.0,6.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:50:32Z,2,27,False,361,David Payne,402,Alex Hales,81,Dawid Malan,157,174,Deep Backward Point,4,0,4,4,HalfVolley,OutsideOff,NotOut,WellTimed,BacksAway,Drive,NoMovement,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,False,False,False,False,4,0,0,0,0,False,True,,,,
654475,6,8.0,6.0,0.0,0.0,48.0,0.0,6.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:51:04Z,3,28,False,361,David Payne,402,Alex Hales,81,Dawid Malan,344,152,Deep Mid Wicket,1,0,1,1,FullToss,MiddleStump,NotOut,None,FrontFoot,Flick,NoMovement,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,
654475,6,8.0,6.0,0.0,0.0,48.0,0.0,6.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:51:43Z,4,29,False,361,David Payne,81,Dawid Malan,402,Alex Hales,270,40,Bowler,0,0,0,0,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,
654475,6,8.0,6.0,0.0,0.0,48.0,0.0,6.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:52:16Z,5,30,False,361,David Payne,81,Dawid Malan,402,Alex Hales,298,107,Mid Off,1,0,1,1,FullToss,OutsideOff,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,
654476,7,8.14,5.0,0.0,4.0,57.0,0.0,9.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:53:30Z,1,31,False,405,Ish Sodhi,81,Dawid Malan,402,Alex Hales,167,97,Backward Square Leg,1,0,1,1,LengthBall,DownLeg,NotOut,None,FrontFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,22,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,
654476,7,8.14,5.0,0.0,4.0,57.0,0.0,9.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:54:04Z,2,32,False,405,Ish Sodhi,402,Alex Hales,81,Dawid Malan,182,146,Deep Point,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,22,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,
654476,7,8.14,5.0,0.0,4.0,57.0,0.0,9.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:54:32Z,3,33,False,405,Ish Sodhi,81,Dawid Malan,402,Alex Hales,91,166,Fine Leg,0,4,4,0,LengthBall,DownLeg,NotOut,PlayAndMissLegSide,FrontFoot,ReverseSweep,Googly,Over,LegSpin,Left,Null,NotReferred,Null,False,False,True,False,False,False,22,False,False,False,False,False,False,0,4,0,0,0,False,False,,,,
