over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
75472,5,6.0,5.0,0.0,0.0,5.0,27.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:50:18Z,3,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,13,98,Left,Backward Square Leg,1,0,1,1,BackOfALength,Null,Played,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,1,0,0,0,0,False,False,
75472,5,6.0,5.0,0.0,0.0,5.0,27.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:50:56Z,4,False,628,Jason Holder,729,Quinton de Kock,883,Hashim Amla,19,83,Right,Backward Point,0,0,0,0,HalfVolley,Null,Played,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75472,5,6.0,5.0,0.0,0.0,5.0,27.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:51:34Z,5,False,628,Jason Holder,729,Quinton de Kock,883,Hashim Amla,34,137,Right,Third Man,1,0,1,1,LengthBall,Null,Played,0,Steer,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,1,0,0,0,0,False,False,
75472,5,6.0,5.0,0.0,0.0,5.0,27.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:52:12Z,6,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,253,26,Left,Silly Point,0,0,0,0,LengthBall,Null,Played,0,BackwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75473,6,6.73,13.0,0.0,1.0,14.0,41.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:53:16Z,1,False,1724,Sheldon Cottrell,729,Quinton de Kock,883,Hashim Amla,217,46,Right,Short Mid Wicket,0,0,0,0,BackOfALength,Null,Played,0,Fended,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,0,0,0,0,0,False,False,
75473,6,6.73,13.0,0.0,1.0,14.0,41.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:53:57Z,2,False,1724,Sheldon Cottrell,729,Quinton de Kock,883,Hashim Amla,147,78,Right,Short Fine Leg,0,1,1,0,LengthBall,Null,HitPad,0,Glance,Null,Over,Fast,Right,Null,Null,False,False,False,True,False,False,87,False,False,True,False,False,False,0,0,0,1,0,False,False,
75473,6,6.73,13.0,0.0,1.0,14.0,41.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:54:42Z,3,False,1724,Sheldon Cottrell,883,Hashim Amla,729,Quinton de Kock,184,176,Left,Deep Point,4,0,4,4,HalfVolley,Null,Played,0,Drive,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,4,0,0,0,0,False,True,
75473,6,6.73,13.0,0.0,1.0,14.0,41.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:55:20Z,4,False,1724,Sheldon Cottrell,883,Hashim Amla,729,Quinton de Kock,331,88,Left,Mid Wicket,1,0,1,1,LengthBall,Null,Played,0,Worked,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,1,0,0,0,0,False,False,
75473,6,6.73,13.0,0.0,1.0,14.0,41.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:56:00Z,5,False,1724,Sheldon Cottrell,729,Quinton de Kock,883,Hashim Amla,266,186,Right,Long On,4,0,4,4,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,4,0,0,0,0,False,True,
75473,6,6.73,13.0,0.0,1.0,14.0,41.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:56:36Z,6,False,1724,Sheldon Cottrell,729,Quinton de Kock,883,Hashim Amla,59,172,Right,Third Man,4,0,4,4,BackOfALength,Null,Played,0,UpperCut,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,4,0,0,0,0,False,True,
75474,7,6.92,5.0,0.0,0.0,5.0,46.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:57:33Z,1,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,236,96,Left,Mid Off,0,0,0,0,LengthBall,Null,Played,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75474,7,6.92,5.0,0.0,0.0,5.0,46.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:58:07Z,2,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,230,154,Left,Deep Extra Cover,2,0,2,2,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,2,0,0,0,0,False,False,
