over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,referralOutcomeId
75397,28,5.13,8.0,0.0,0.0,142.0,2.0,8.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:06:32Z,5,False,,,,615.0,,1371.0,Ross Taylor,160.0,Kane Williamson,299.0,137.0,Left,Long On,1.0,0,1,1.0,,HalfVolley,Null,Played,0,Drive,Null,Over,Unorthodox,Right,Null,Null,False,False,False,False,False,False,74.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
75397,28,5.13,8.0,0.0,0.0,142.0,2.0,8.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:06:57Z,6,False,,,,615.0,,160.0,Kane Williamson,1371.0,Ross Taylor,132.0,64.0,Left,Third Slip,1.0,0,1,1.0,,LengthBall,Null,Played,0,Steer,Null,Over,Unorthodox,Right,Null,Null,False,False,False,False,False,False,74.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
75399,29,5.23,7.0,0.0,0.0,149.0,2.0,7.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:07:50Z,1,False,,,,517.0,Ravindra Jadeja,160.0,Kane Williamson,1371.0,Ross Taylor,234.0,136.0,Left,Deep Extra Cover,2.0,0,2,2.0,,HalfVolley,Null,Played,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,True,False,73.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,
75399,29,5.23,7.0,0.0,0.0,149.0,2.0,7.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:08:18Z,2,False,,,,517.0,Ravindra Jadeja,160.0,Kane Williamson,1371.0,Ross Taylor,93.0,166.0,Left,Third Man,4.0,0,4,4.0,,LengthBall,Null,Edged,0,Sweep,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
75399,29,5.23,7.0,0.0,0.0,149.0,2.0,7.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:08:55Z,3,False,,,,517.0,Ravindra Jadeja,160.0,Kane Williamson,1371.0,Ross Taylor,325.0,46.0,Left,Short Mid Wicket,0.0,0,0,0.0,,LengthBall,Null,Played,0,Pushed,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
75399,29,5.23,7.0,0.0,0.0,149.0,2.0,7.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:09:14Z,4,False,,,,517.0,Ravindra Jadeja,160.0,Kane Williamson,1371.0,Ross Taylor,204.0,108.0,Left,Cover,1.0,0,1,1.0,,LengthBall,Null,Played,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
75399,29,5.23,7.0,0.0,0.0,149.0,2.0,7.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:09:40Z,5,False,,,,517.0,Ravindra Jadeja,1371.0,Ross Taylor,160.0,Kane Williamson,209.0,73.0,Left,Extra Cover,0.0,0,0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
75399,29,5.23,7.0,0.0,0.0,149.0,2.0,7.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:09:53Z,6,False,,,,517.0,Ravindra Jadeja,1371.0,Ross Taylor,160.0,Kane Williamson,270.0,40.0,Left,Bowler,0.0,0,0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
75402,30,5.12,2.0,1.0,0.0,151.0,3.0,2.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:11:16Z,1,False,,,,613.0,,160.0,Kane Williamson,1371.0,Ross Taylor,191.0,131.0,Left,Deep Point,1.0,0,1,1.0,,LengthBall,Null,Played,0,Pushed,Null,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,74.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
75402,30,5.12,2.0,1.0,0.0,151.0,3.0,2.0,1704,,5321,World Cup warm-up matches,2,25,New Zealand Men,3,India Men,2019-05-25T16:11:49Z,2,False,,,,613.0,,1371.0,Ross Taylor,160.0,Kane Williamson,213.0,84.0,Left,Extra Cover,0.0,0,0,0.0,,LengthBall,Null,Edged,0,Worked,Null,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,74.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
