over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
175625,3,3.2,0.0,0.0,0.0,8.0,2.0,,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:13:18Z,4,False,,,,3898,Cameron McClure,3884,Dhruv Kant,2907,Lachlan Hearne,90,48,Left,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,245,False,False,True,False,False,False,0,0,0,0,0,False,False
175625,3,3.2,0.0,0.0,0.0,8.0,2.0,,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:13:58Z,5,False,,,,3898,Cameron McClure,3884,Dhruv Kant,2907,Lachlan Hearne,90,48,Left,Wicketkeeper,0,0,0,0,,BackOfALength,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,245,False,False,True,False,False,False,0,0,0,0,0,False,False
175625,3,3.2,0.0,0.0,0.0,8.0,2.0,,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:14:37Z,6,False,,,,3898,Cameron McClure,3884,Dhruv Kant,2907,Lachlan Hearne,329,74,Left,Mid Wicket,0,0,0,0,,Yorker,Null,NotOut,Played,0,Drive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,245,False,False,True,False,False,False,0,0,0,0,0,False,False
175627,4,3.71,5.0,0.0,0.0,13.0,2.0,5.0,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:15:30Z,1,False,,,,3896,Triyan De Silva,2907,Lachlan Hearne,3884,Dhruv Kant,228,95,Right,Mid On,0,0,0,0,,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,Null,False,False,False,False,False,False,221,False,False,True,False,False,False,0,0,0,0,0,False,False
175627,4,3.71,5.0,0.0,0.0,13.0,2.0,5.0,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:15:58Z,2,False,,,,3896,Triyan De Silva,2907,Lachlan Hearne,3884,Dhruv Kant,258,201,Right,Long On,4,0,4,4,,LengthBall,Null,NotOut,HitHard,0,Pushed,Null,Over,Medium,Right,Null,Null,False,False,False,False,False,False,221,False,False,True,False,False,False,4,0,0,0,0,False,True
175627,4,3.71,5.0,0.0,0.0,13.0,2.0,5.0,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:16:39Z,3,False,,,,3896,Triyan De Silva,2907,Lachlan Hearne,3884,Dhruv Kant,40,144,Right,Third Man,1,0,1,1,,HalfVolley,Null,NotOut,Edged,0,Drive,Null,Over,Medium,Right,Null,Null,False,False,False,False,False,False,221,False,False,True,False,False,False,1,0,0,0,0,False,False
175627,4,3.71,5.0,0.0,0.0,13.0,2.0,5.0,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:17:15Z,4,False,,,,3896,Triyan De Silva,3884,Dhruv Kant,2907,Lachlan Hearne,90,48,Left,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Right,Null,Null,False,False,False,False,False,False,221,False,False,True,False,False,False,0,0,0,0,0,False,False
175627,4,3.71,5.0,0.0,0.0,13.0,2.0,5.0,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:17:46Z,5,False,,,,3896,Triyan De Silva,3884,Dhruv Kant,2907,Lachlan Hearne,183,88,Left,Point,0,0,0,0,,LengthBall,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Medium,Right,Null,Null,False,False,False,False,False,False,221,False,False,True,False,False,False,0,0,0,0,0,False,False
175627,4,3.71,5.0,0.0,0.0,13.0,2.0,5.0,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:18:17Z,6,False,,,,3896,Triyan De Silva,3884,Dhruv Kant,2907,Lachlan Hearne,90,48,Left,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Edged,0,Pushed,Null,Over,Medium,Right,Null,Null,False,False,False,False,False,False,221,False,False,True,False,False,False,0,0,0,0,0,False,False
175629,5,3.33,2.0,0.0,0.0,15.0,2.0,2.0,3874,,7142,U19 National Champs Final - Men,1,286,NSW Metro U19,940,Vic Country U19,2019-12-12T13:19:21Z,1,False,,,,3898,Cameron McClure,2907,Lachlan Hearne,3884,Dhruv Kant,197,92,Right,Mid Wicket,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,245,False,False,True,False,False,False,1,0,0,0,0,False,False
