over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
86072,36,5.38,7.0,0.0,0.0,191.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:07:52Z,1,False,1108.0,Chris Morris,568.0,Babar Azam,635.0,Haris Sohail,190.0,148.0,Left,Deep Point,1.0,0,1,1.0,LengthBall,OutsideOff,,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86072,36,5.38,7.0,0.0,0.0,191.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:08:45Z,2,False,1108.0,Chris Morris,635.0,Haris Sohail,568.0,Babar Azam,354.0,145.0,Right,Deep Point,1.0,0,1,1.0,LengthBall,OutsideOff,,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86072,36,5.38,7.0,0.0,0.0,191.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:09:23Z,3,False,1108.0,Chris Morris,568.0,Babar Azam,635.0,Haris Sohail,344.0,150.0,Left,Deep Mid Wicket,1.0,0,1,1.0,Short,OutsideOff,,None,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86072,36,5.38,7.0,0.0,0.0,191.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:10:07Z,4,False,1108.0,Chris Morris,635.0,Haris Sohail,568.0,Babar Azam,4.0,81.0,Right,Point,0.0,0,0,0.0,LengthBall,OutsideOff,,None,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
86072,36,5.38,7.0,0.0,0.0,191.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:10:42Z,5,False,1108.0,Chris Morris,635.0,Haris Sohail,568.0,Babar Azam,9.0,168.0,Right,Deep Backward Point,4.0,0,4,4.0,LengthBall,OffStump,,WellTimed,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
86072,36,5.38,7.0,0.0,0.0,191.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:11:37Z,6,False,1108.0,Chris Morris,635.0,Haris Sohail,568.0,Babar Azam,210.0,18.0,Right,Short Leg,0.0,0,0,0.0,Short,DownLeg,,HitBody,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
86073,37,5.34,3.0,0.0,1.0,195.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:12:53Z,1,False,676.0,Imran Tahir,568.0,Babar Azam,635.0,Haris Sohail,117.0,73.0,Left,Short Third Man,0.0,1,1,0.0,LengthBall,OffStump,,HitPad,FrontFoot,ForwardDefensive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,True,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,False,False,,,,
86073,37,5.34,3.0,0.0,1.0,195.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:13:29Z,2,False,676.0,Imran Tahir,635.0,Haris Sohail,568.0,Babar Azam,353.0,146.0,Right,Deep Point,1.0,0,1,1.0,LengthBall,OffStump,,None,BackFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86073,37,5.34,3.0,0.0,1.0,195.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:13:54Z,3,False,676.0,Imran Tahir,568.0,Babar Azam,635.0,Haris Sohail,15.0,72.0,Left,Backward Square Leg,1.0,0,1,1.0,LengthBall,LegStump,,None,FrontFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86073,37,5.34,3.0,0.0,1.0,195.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:14:14Z,4,False,676.0,Imran Tahir,635.0,Haris Sohail,568.0,Babar Azam,270.0,40.0,Right,Bowler,0.0,0,0,0.0,LengthBall,OutsideOff,,None,BackFoot,BackwardDefensive,QuickerBall,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
