over_id,over_overNumber,over_totalRuns,over_runsConceded,over_wickets,over_runsExtras,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
41069,1,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:05:35Z,1,False,,,,317.0,Dane Paterson,566.0,Fakhar Zaman,567.0,Imam Ul Haq,270.0,40.0,Right,Bowler,0.0,0,0,0.0,,LengthBall,MiddleStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,119.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41069,1,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:06:08Z,2,False,,,,317.0,Dane Paterson,566.0,Fakhar Zaman,567.0,Imam Ul Haq,329.0,75.0,Right,Extra Cover,1.0,0,1,1.0,,LengthBall,OffStump,NotOut,None,FrontFoot,Dropped,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,119.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
41069,1,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:06:48Z,3,False,,,,317.0,Dane Paterson,567.0,Imam Ul Haq,566.0,Fakhar Zaman,214.0,79.0,Right,Mid Wicket,1.0,0,1,1.0,,LengthBall,LegStump,NotOut,None,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,119.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
41069,1,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:07:29Z,4,False,,,,317.0,Dane Paterson,566.0,Fakhar Zaman,567.0,Imam Ul Haq,90.0,48.0,Right,Wicketkeeper,1.0,1,1,0.0,,LengthBall,DownLeg,NotOut,PlayAndMissLegSide,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,True,False,False,False,False,True,119.0,False,False,True,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False
41069,1,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:07:56Z,4,False,,,,317.0,Dane Paterson,566.0,Fakhar Zaman,567.0,Imam Ul Haq,202.0,71.0,Right,Mid Wicket,0.0,0,0,0.0,,LengthBall,OffStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,119.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41069,1,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:08:30Z,5,False,,,,317.0,Dane Paterson,566.0,Fakhar Zaman,567.0,Imam Ul Haq,332.0,92.0,Right,Extra Cover,0.0,0,0,0.0,,LengthBall,MiddleStump,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,119.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41069,1,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:09:07Z,6,False,,,,317.0,Dane Paterson,566.0,Fakhar Zaman,567.0,Imam Ul Haq,359.0,86.0,Right,Point,0.0,0,0,0.0,,LengthBall,LegStump,NotOut,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,119.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41071,2,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:10:02Z,1,False,,,,675.0,Kagiso Rabada,567.0,Imam Ul Haq,566.0,Fakhar Zaman,200.0,74.0,Right,Mid Wicket,0.0,0,0,0.0,,LengthBall,LegStump,NotOut,None,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,102.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41071,2,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:10:35Z,2,False,,,,675.0,Kagiso Rabada,567.0,Imam Ul Haq,566.0,Fakhar Zaman,206.0,70.0,Right,Mid Wicket,0.0,0,0,0.0,,BackOfALength,MiddleStump,NotOut,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,102.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41071,2,3.0,,,,855,,92,South Africa v Pakistan ODI - Men's,1,11,Pakistan Men,21,South Africa Men,2019-01-22T11:11:05Z,3,False,,,,675.0,Kagiso Rabada,567.0,Imam Ul Haq,566.0,Fakhar Zaman,90.0,48.0,Right,Wicketkeeper,1.0,1,1,0.0,,BackOfALength,DownLeg,NotOut,PlayAndMissLegSide,BackFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,True,False,False,False,False,True,102.0,False,False,True,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False
