over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId
47635,31,,15.0,1.0,1.0,187.0,3.0,15.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,3,False,Deep Backward Square Leg,0,4,False,False,2019-03-10T10:12:21Z,710.0,Kasun Rajitha,729.0,Quinton de Kock,730.0,Rassie van der Dussen,157.0,178.0,Right,4.0,4.0,BackOfALength,DownLeg,WellTimed,FrontFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,103.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,,,,,
47635,31,,15.0,1.0,1.0,187.0,3.0,15.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,4,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47635,31,,15.0,1.0,1.0,187.0,3.0,15.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,4,False,Deep Mid Wicket,0,4,False,False,2019-03-10T10:13:07Z,710.0,Kasun Rajitha,729.0,Quinton de Kock,730.0,Rassie van der Dussen,195.0,172.0,Right,4.0,4.0,BackOfALength,LegStump,WellTimed,FrontFoot,Pull,LegCutter,Over,Fast,Left,Null,Null,False,False,False,False,True,False,103.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,,,,,
47635,31,,15.0,1.0,1.0,187.0,3.0,15.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,5,False,Extra Cover,0,0,False,False,2019-03-10T10:14:15Z,710.0,Kasun Rajitha,729.0,Quinton de Kock,730.0,Rassie van der Dussen,320.0,91.0,Right,0.0,0.0,LengthBall,OffStump,None,DownTheTrack,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,103.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47635,31,,15.0,1.0,1.0,187.0,3.0,15.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,6,True,Wicketkeeper,0,0,False,False,2019-03-10T10:14:48Z,710.0,Kasun Rajitha,729.0,Quinton de Kock,730.0,Rassie van der Dussen,90.0,48.0,Right,0.0,0.0,LengthBall,OffStump,OutsideEdge,DownTheTrack,Drive,NoMovement,Over,Fast,Left,Out2ndUmpire,Null,False,False,False,False,False,False,103.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,Caught,729.0,Quinton de Kock,Caught,
47638,32,,5.0,0.0,0.0,192.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,1,False,Bowler,0,0,False,False,2019-03-10T10:17:28Z,706.0,Kamindu Mendis,730.0,Rassie van der Dussen,731.0,David Miller,270.0,40.0,Left,0.0,0.0,HalfVolley,OffStump,None,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47638,32,,5.0,0.0,0.0,192.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,2,False,Deep Point,0,2,False,False,2019-03-10T10:17:44Z,706.0,Kamindu Mendis,730.0,Rassie van der Dussen,731.0,David Miller,180.0,133.0,Left,2.0,2.0,LengthBall,OutsideOff,None,BackFoot,Cut,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,,,,,
47638,32,,5.0,0.0,0.0,192.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,3,False,Deep Cover,0,1,False,False,2019-03-10T10:18:11Z,706.0,Kamindu Mendis,730.0,Rassie van der Dussen,731.0,David Miller,194.0,150.0,Left,1.0,1.0,BackOfALength,OutsideOff,None,BackFoot,Cut,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,,
47638,32,,5.0,0.0,0.0,192.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,4,False,Short Extra Cover,0,0,False,False,2019-03-10T10:18:48Z,706.0,Kamindu Mendis,731.0,David Miller,730.0,Rassie van der Dussen,324.0,58.0,Right,0.0,0.0,LengthBall,OutsideOff,None,FrontFoot,ForwardDefensive,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47638,32,,5.0,0.0,0.0,192.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,5,False,Deep Cover,0,1,False,False,2019-03-10T10:19:06Z,706.0,Kamindu Mendis,731.0,David Miller,730.0,Rassie van der Dussen,342.0,121.0,Right,1.0,1.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,,
