over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,referralOutcomeId
52811,41,,2.0,1.0,0.0,241.0,5.0,2.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T18:56:28Z,5,False,1015.0,Kane Richardson,2463.0,Saad Ali,1181.0,Imad Wasim,1.0,91.0,Right,Point,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Steer,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52811,41,,2.0,1.0,0.0,241.0,5.0,2.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T18:56:51Z,6,False,1015.0,Kane Richardson,2463.0,Saad Ali,1181.0,Imad Wasim,347.0,143.0,Right,Deep Cover,1.0,0,1,1.0,BackOfALength,OutsideOff,None,BackFoot,Pushed,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52813,42,,3.0,0.0,0.0,243.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T18:57:32Z,1,False,726.0,Nathan Lyon,2463.0,Saad Ali,1181.0,Imad Wasim,16.0,60.0,Right,Gully,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Cut,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52813,42,,3.0,0.0,0.0,243.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T18:57:58Z,2,False,726.0,Nathan Lyon,2463.0,Saad Ali,1181.0,Imad Wasim,342.0,86.0,Right,Cover,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Dropped,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52813,42,,3.0,0.0,0.0,243.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T18:58:21Z,3,False,726.0,Nathan Lyon,1181.0,Imad Wasim,2463.0,Saad Ali,307.0,92.0,Right,Mid Off,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Pushed,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52813,42,,3.0,0.0,0.0,243.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T18:58:41Z,4,False,726.0,Nathan Lyon,1181.0,Imad Wasim,2463.0,Saad Ali,249.0,161.0,Right,Long On,1.0,0,1,1.0,BackOfALength,OutsideOff,None,DownTheTrack,Worked,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52813,42,,3.0,0.0,0.0,243.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T18:59:00Z,5,False,726.0,Nathan Lyon,2463.0,Saad Ali,1181.0,Imad Wasim,16.0,66.0,Right,Gully,0.0,0,0,0.0,BackOfALength,OffStump,None,BackFoot,Cut,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52813,42,,3.0,0.0,0.0,243.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T18:59:17Z,6,False,726.0,Nathan Lyon,2463.0,Saad Ali,1181.0,Imad Wasim,4.0,74.0,Right,Point,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,LateCut,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52815,43,,3.0,0.0,0.0,246.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:01:07Z,1,False,852.0,Adam Zampa,1181.0,Imad Wasim,2463.0,Saad Ali,338.0,106.0,Right,Cover,1.0,0,1,1.0,LengthBall,OutsideOff,None,BackFoot,Cut,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52815,43,,3.0,0.0,0.0,246.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:01:27Z,2,False,852.0,Adam Zampa,2463.0,Saad Ali,1181.0,Imad Wasim,199.0,148.0,Right,Deep Mid Wicket,1.0,0,1,1.0,BackOfALength,OutsideOff,None,BackFoot,Pull,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
