over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,runsConceded,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount
478752,1,2.0,2.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,1,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478752,1,2.0,2.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,2,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478752,1,2.0,2.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,3,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478752,1,2.0,2.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,4,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478752,1,2.0,2.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,5,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478752,1,2.0,2.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,6,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478753,2,3.0,6.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,1,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478753,2,3.0,6.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,1,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478753,2,3.0,6.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,2,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478753,2,3.0,6.0,0.0,,,,,14042,,12072,ICC Under 19 Men's World Cup 2022,1,233,Pakistan U19 Men,224,Afghanistan U19 Men,2,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
