over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalType
348909,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:01:28Z,1,False,,,789.0,Diana Baig,385.0,Lizelle Lee,1731.0,Laura Wolvaardt,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,Null,NotOut,MissedLegSide,0,Glance,Null,Over,Medium,Left,Null,NotReferred,Null,True,False,False,False,False,False,292.0,False,True,True,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False,,
348909,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:02:06Z,1,False,,,789.0,Diana Baig,385.0,Lizelle Lee,1731.0,Laura Wolvaardt,199.0,78.0,Left,Cover,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
348909,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:02:40Z,2,False,,,789.0,Diana Baig,385.0,Lizelle Lee,1731.0,Laura Wolvaardt,297.0,85.0,Left,Mid On,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
348909,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:03:13Z,3,False,,,789.0,Diana Baig,385.0,Lizelle Lee,1731.0,Laura Wolvaardt,244.0,81.0,Left,Mid Off,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
348909,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:03:45Z,4,True,385.0,Lizelle Lee,789.0,Diana Baig,385.0,Lizelle Lee,1731.0,Laura Wolvaardt,0.0,0.0,Left,,0.0,0,0,0.0,LengthBall,Null,NotOut,HitPad,0,ForwardDefensive,Null,Over,Medium,Left,Out1stUmpire,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,Lbw,LBW
348909,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:05:21Z,5,False,,,789.0,Diana Baig,994.0,Sune Luus,1731.0,Laura Wolvaardt,270.0,40.0,Left,Bowler,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
348909,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:06:03Z,6,False,,,789.0,Diana Baig,994.0,Sune Luus,1731.0,Laura Wolvaardt,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
348912,2,2.0,2.0,0.0,2.0,4.0,1.0,3.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:07:14Z,1,False,,,2717.0,Fatima Sana Khan,1731.0,Laura Wolvaardt,994.0,Sune Luus,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,LengthBall,Null,NotOut,NoShot,0,ShouldersArms,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,248.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
348912,2,2.0,2.0,0.0,2.0,4.0,1.0,3.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:07:47Z,2,False,,,2717.0,Fatima Sana Khan,1731.0,Laura Wolvaardt,994.0,Sune Luus,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,Null,NotOut,NoShot,0,ShouldersArms,Null,Over,Medium,Left,Null,NotReferred,Null,True,False,False,False,False,False,248.0,False,False,True,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False,,
348912,2,2.0,2.0,0.0,2.0,4.0,1.0,3.0,10964,3rd Test,10101,South Africa v Pakistan ODIs - Women's,1,69,South Africa Women,70,Pakistan Women,2021-01-20T10:08:22Z,2,False,,,2717.0,Fatima Sana Khan,1731.0,Laura Wolvaardt,994.0,Sune Luus,270.0,40.0,Left,Bowler,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,248.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
