over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
91507,2,4.67,1.0,0.0,0.0,1.0,7.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:36:01Z,5,False,,,,986,Sammy-Jo Johnson,444,Georgie Boyce,419,Lauren Winfield-Hill,147,125,Left,Third Man,1,0,1,1,,BackOfALength,Null,Played,0,LateCut,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,334,False,False,True,False,False,False,1,0,0,0,0,False,False,
91507,2,4.67,1.0,0.0,0.0,1.0,7.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:36:40Z,6,False,,,,986,Sammy-Jo Johnson,419,Lauren Winfield-Hill,444,Georgie Boyce,170,75,Left,Point,0,0,0,0,,BackOfALength,Null,Played,0,BackwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,334,False,False,True,False,False,False,0,0,0,0,0,False,False,
91509,3,3.6,2.0,0.0,2.0,2.0,9.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:37:36Z,1,False,,,,878,Tayla Vlaeminck,444,Georgie Boyce,419,Lauren Winfield-Hill,90,48,Left,Wicketkeeper,1,1,1,0,,HalfVolley,Null,NoShot,0,Leave,Null,Over,Medium,Left,Null,Null,True,False,False,False,False,False,333,False,False,True,False,False,False,0,0,1,0,0,False,False,
91509,3,3.6,2.0,0.0,2.0,2.0,9.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:38:05Z,2,False,,,,878,Tayla Vlaeminck,444,Georgie Boyce,419,Lauren Winfield-Hill,338,56,Left,Short Mid Wicket,0,0,0,0,,LengthBall,Null,HitPad,0,Worked,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,333,False,False,True,False,False,False,0,0,0,0,0,False,False,
91509,3,3.6,2.0,0.0,2.0,2.0,9.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:38:34Z,3,False,,,,878,Tayla Vlaeminck,444,Georgie Boyce,419,Lauren Winfield-Hill,90,48,Left,Wicketkeeper,1,1,1,0,,LengthBall,Null,Missed,0,Drive,Null,Over,Medium,Left,Null,Null,True,False,False,False,False,False,333,False,False,True,False,False,False,0,0,1,0,0,False,False,
91509,3,3.6,2.0,0.0,2.0,2.0,9.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:39:03Z,4,False,,,,878,Tayla Vlaeminck,444,Georgie Boyce,419,Lauren Winfield-Hill,90,48,Left,Wicketkeeper,0,0,0,0,,LengthBall,Null,Missed,0,ForwardDefensive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,333,False,False,True,False,False,False,0,0,0,0,0,False,False,
91509,3,3.6,2.0,0.0,2.0,2.0,9.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:39:34Z,5,False,,,,878,Tayla Vlaeminck,444,Georgie Boyce,419,Lauren Winfield-Hill,90,48,Left,Wicketkeeper,0,0,0,0,,BackOfALength,Null,Missed,0,BackwardDefensive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,333,False,False,True,False,False,False,0,0,0,0,0,False,False,
91509,3,3.6,2.0,0.0,2.0,2.0,9.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:40:03Z,6,False,,,,878,Tayla Vlaeminck,444,Georgie Boyce,419,Lauren Winfield-Hill,217,47,Left,Short Extra Cover,0,0,0,0,,HalfVolley,Null,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,333,False,False,True,False,False,False,0,0,0,0,0,False,False,
91509,3,3.6,2.0,0.0,2.0,2.0,9.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:40:35Z,7,False,,,,878,Tayla Vlaeminck,444,Georgie Boyce,419,Lauren Winfield-Hill,303,15,Left,Short Leg,0,0,0,0,,LengthBall,Null,MisTimed,0,Pushed,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,333,False,False,True,False,False,False,0,0,0,0,0,False,False,
91509,3,3.6,2.0,0.0,2.0,2.0,9.0,0.0,2005,,5815,Australia A Tour of England - Women's,1,161,England Women's Academy,708,Australia A Women,2019-07-03T10:41:08Z,8,False,,,,878,Tayla Vlaeminck,444,Georgie Boyce,419,Lauren Winfield-Hill,90,48,Left,Wicketkeeper,0,0,0,0,,LengthBall,Null,Missed,0,Pushed,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,333,False,False,True,False,False,False,0,0,0,0,0,False,False,
